Ano,001º PROMOTOR DE JUSTIÇA,002º PROMOTOR DE JUSTIÇA,003º PROMOTOR DE JUSTIÇA,004º PROMOTOR DE JUSTIÇA,005º PROMOTOR DE JUSTIÇA,006º PROMOTOR DE JUSTIÇA,007º PROMOTOR DE JUSTIÇA,008º PROMOTOR DE JUSTIÇA,009º PROMOTOR DE JUSTIÇA
2014,3,17,3,1019,1,1,0,1220,0
2015,32,375,25,4489,5,51,7,4494,7
2016,1109,475,1943,4824,648,214,1046,4318,480
2017,2953,621,4281,5564,1762,920,2671,4527,2459
2018,4107,821,4593,5454,2927,1310,3414,3946,3503
2019,5548,1187,4964,6297,4367,1809,4651,4175,4566
2020,3774,1063,3195,5898,3148,1589,4337,3930,4089
2021,5059,1181,7039,6735,5028,1656,5149,5069,4205
2022,4943,1487,13498,6784,5809,1423,5184,6158,4198
2023,4711,1615,13668,6865,8118,1242,6982,6089,3937
2024,5568,2149,9536,8583,8930,1275,6740,7321,4487
